Time,Speed,TargetSpeed,VirtualTargetSpeed,StepIndex,Torque,Slope,State
0,11.9855,15,15,1,0,0,2
0.05,11.9709,15,15,1,0,0,2
0.1,11.9564,15,15,1,0,0,2
0.15,11.9419,15,15,1,0,0,2
0.2,11.9274,15,15,1,0,0,2
0.25,11.913,15,15,1,0,0,2
0.3,11.8985,15,15,1,0,0,2
0.35,11.8841,15,15,1,0,0,2
0.4,11.8697,15,15,1,0,0,2
0.45,11.8553,15,15,1,0,0,2
0.5,11.8409,15,15,1,0,0,2
0.55,11.8265,15,15,1,0,0,2
0.6,11.8122,15,15,1,0,0,2
0.65,11.7979,15,15,1,0,0,2
0.7,11.7836,15,15,1,0,0,2
0.75,11.7693,15,15,1,0,0,2
0.8,11.755,15,15,1,0,0,2
0.85,11.7407,15,15,1,0,0,2
0.9,11.7265,15,15,1,0,0,2
0.95,11.7123,15,15,1,0,0,2
1,11.8624,15,15,1,147.948,0,2
1.05,12.0049,15,15,1,141.19,0,0
1.1,12.1401,15,15,1,134.778,0,0
1.15,12.2684,15,15,1,128.694,0,0
1.2,12.3901,15,15,1,122.922,0,0
1.25,12.5056,15,15,1,117.445,0,0
1.3,12.6151,15,15,1,112.249,0,0
1.35,12.7191,15,15,1,107.319,0,0
1.4,12.8177,15,15,1,102.642,0,0
1.45,12.9112,15,15,1,98.2045,0,0
1.5,13,15,15,1,93.9947,0,0
1.55,13.0842,15,15,1,90.0008,0,0
1.6,13.1641,15,15,1,86.2118,0,0
1.65,13.2398,15,15,1,82.6171,0,0
1.7,13.3117,15,15,1,79.2069,0,0
1.75,13.3799,15,15,1,75.9717,0,0
1.8,13.4446,15,15,1,72.9026,0,0
1.85,13.506,15,15,1,69.991,0,0
1.9,13.5643,15,15,1,67.2289,0,0
1.95,13.6195,15,15,1,64.6087,0,0
2,13.6719,15,15,1,62.123,0,0
2.05,13.7216,15,15,1,59.7649,0,0
2.1,13.7688,15,15,1,57.528,0,0
2.15,13.8135,15,15,1,55.406,0,0
2.2,13.8559,15,15,1,53.393,0,0
2.25,13.8962,15,15,1,51.4834,0,0
2.3,13.9344,15,15,1,49.672,0,0
2.35,13.9706,15,15,1,47.9536,0,0
2.4,14.0049,15,15,1,46.3235,0,0
2.45,14.0375,15,15,1,44.7773,0,0
2.5,14.0685,15,15,1,43.3105,0,0
2.55,14.0978,15,15,1,41.9191,0,0
2.6,14.1256,15,15,1,40.5992,0,0
2.65,14.152,15,15,1,39.3471,0,0
2.7,14.177,15,15,1,38.1595,0,0
2.75,14.2008,15,15,1,37.0329,0,0
2.8,14.2233,15,15,1,35.9642,0,0
2.85,14.2447,15,15,1,34.9505,0,0
2.9,14.265,15,15,1,33.9889,0,0
2.95,14.2842,15,15,1,33.0768,0,0
3,14.3024,15,15,1,32.2115,0,0
3.05,14.3197,15,15,1,31.3908,0,0
3.1,14.3361,15,15,1,30.6123,0,0
3.15,14.3517,15,15,1,29.8738,0,0
3.2,14.3665,15,15,1,29.1733,0,0
3.25,14.3805,15,15,1,28.5088,0,0
3.3,14.3938,15,15,1,27.8785,0,0
3.35,14.4064,15,15,1,27.2806,0,0
3.4,14.4183,15,15,1,26.7135,0,0
3.45,14.4297,15,15,1,26.1755,0,0
3.5,14.4404,15,15,1,25.6652,0,0
3.55,14.4506,15,15,1,25.1812,0,0
3.6,14.4603,15,15,1,24.7221,0,0
3.65,14.4695,15,15,1,24.2866,0,0
3.7,14.4782,15,15,1,23.8735,0,0
3.75,14.4864,15,15,1,23.4816,0,0
3.8,14.4943,15,15,1,23.1099,0,0
3.85,14.5017,15,15,1,22.7574,0,0
3.9,14.5088,15,15,1,22.4229,0,0
3.95,14.5154,15,15,1,22.1057,0,0
4,14.5218,15,15,1,21.8048,0,0
4.05,14.5278,15,15,1,21.5194,0,0
4.1,14.5335,15,15,1,21.2487,0,0
4.15,14.5389,15,15,1,20.9919,0,0
4.2,14.5441,15,15,1,20.7483,0,0
4.25,14.5489,15,15,1,20.5172,0,0
4.3,14.5536,15,15,1,20.298,0,0
4.35,14.5579,15,15,1,20.0901,0,0
4.4,14.5621,15,15,1,19.893,0,0
